index	r_work	r_free
0	0.3008	0.3423
1	0.2146	0.1694
2	0.1715	0.1658
3	0.167	0.162
4	0.1669	0.1622
5	0.1656	0.165
6	0.1534	0.1528
7	0.1527	0.1513
8	0.1518	0.1565
9	0.1449	0.151
10	0.1455	0.1495
11	0.1467	0.1473
12	0.1477	0.1463
13	0.1439	0.1542
14	0.1475	0.1582
15	0.1481	0.1536
16	0.1494	0.1509
17	0.1507	0.1505
18	0.1471	0.1577
19	0.1457	0.1565
20	0.1464	0.1526
21	0.1475	0.1508
22	0.1484	0.1506
23	0.2146	0.1694
24	0.1458	0.1583
