index	r_work	r_free
0	0.3047	0.3318
1	0.2159	0.173
2	0.1723	0.1727
3	0.1685	0.1654
4	0.1683	0.1653
5	0.1673	0.1771
6	0.1526	0.163
7	0.1511	0.1632
8	0.151	0.1632
9	0.1509	0.1631
10	0.1499	0.1661
11	0.1428	0.1608
12	0.144	0.1596
13	0.1452	0.1575
14	0.1461	0.1563
15	0.1418	0.1632
16	0.1442	0.1648
17	0.145	0.1607
18	0.1464	0.158
19	0.1476	0.1566
20	0.1441	0.1644
21	0.1276	0.1656
22	0.128	0.1629
23	0.1289	0.1614
24	0.1295	0.1603
25	0.2159	0.173
26	0.1268	0.1683
