index	r_work	r_free
0	0.3431	0.4048
1	0.215	0.257
2	0.174	0.2458
3	0.1671	0.2454
4	0.1671	0.2455
5	0.1602	0.2324
6	0.1451	0.2319
7	0.1441	0.2322
8	0.1437	0.23
9	0.1414	0.2042
10	0.1406	0.2092
11	0.1404	0.2093
12	0.1372	0.2089
13	0.1368	0.2109
14	0.1368	0.2108
15	0.1366	0.2109
16	0.1625	0.2071
17	0.1616	0.2062
18	0.1615	0.2066
19	0.1615	0.2067
20	0.215	0.257
21	0.1611	0.2085
