index	r_work	r_free
0	0.3087	0.3402
1	0.2175	0.1825
2	0.1747	0.1775
3	0.1706	0.1716
4	0.1683	0.1785
5	0.1527	0.1663
6	0.152	0.1656
7	0.1511	0.1699
8	0.1351	0.154
9	0.1354	0.1545
10	0.1364	0.154
11	0.137	0.1528
12	0.1334	0.1614
13	0.1248	0.1621
14	0.1252	0.1616
15	0.1258	0.16
16	0.1263	0.1592
17	0.1239	0.1642
18	0.1313	0.1697
19	0.1315	0.1665
20	0.1324	0.1648
21	0.1332	0.1636
22	0.2175	0.1825
23	0.1311	0.1713
